permission,req_extra_service,what_service,protection_level,req_extra_permission,extra_permission,deprecated
MEDIA_CONTENT_CONTROL,0,,normal,0,,0
MODIFY_AUDIO_SETTINGS,0,,normal,0,,0
MODIFY_PHONE_STATE,0,,normal,0,,0
MOUNT_FORMAT_FILESYSTEMS,0,,normal,0,,0
MOUNT_UNMOUNT_FILESYSTEMS,0,,normal,0,,0
NFC,0,,normal,0,,0
NFC_PREFERRED_PAYMENT_INFO,0,,normal,0,,0
NFC_TRANSACTION_EVENT,0,,normal,0,,0
PACKAGE_USAGE_STATS,0,,signatureOrSystem,0,,0
PERSISTENT_ACTIVITY,0,,normal,0,,1
PROCESS_OUTGOING_CALLS,0,,dangerous,0,,1
QUERY_ALL_PACKAGES,0,,normal,0,,0
READ_CALENDAR,0,,dangerous,0,,0
READ_CALL_LOG,0,,dangerous,0,,0
READ_CONTACTS,0,,dangerous,0,,0
READ_EXTERNAL_STORAGE,0,,dangerous,0,,0
READ_INPUT_STATE,0,,normal,0,,1
READ_LOGS,0,,normal,0,,0
READ_PHONE_NUMBERS,0,,dangerous,0,,0
READ_PHONE_STATE,0,,dangerous,0,,0
READ_PRECISE_PHONE_STATE,0,,normal,0,,0
READ_SMS,0,,dangerous,0,,0
READ_SYNC_SETTINGS,0,,normal,0,,0
READ_SYNC_STATS,0,,normal,0,,0
READ_VOICEMAIL,0,,signatureOrSystem,0,,0
REBOOT,0,,normal,0,,0
RECEIVE_BOOT_COMPLETED,0,,normal,0,,0
RECEIVE_MMS,0,,dangerous,0,,0
RECEIVE_SMS,0,,dangerous,0,,0
RECEIVE_WAP_PUSH,0,,dangerous,0,,0
RECORD_AUDIO,0,,dangerous,0,,0
REORDER_TASKS,0,,normal,0,,0
REQUEST_COMPANION_PROFILE_WATCH,0,,normal,0,,0
REQUEST_COMPANION_RUN_IN_BACKGROUND,0,,normal,0,,0
REQUEST_COMPANION_START_FOREGROUND_SERVICES_FROM_BACKGROUND,0,,normal,0,,0
REQUEST_COMPANION_USE_DATA_IN_BACKGROUND,0,,normal,0,,0
REQUEST_DELETE_PACKAGES,0,,normal,0,,0
REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,1,Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.,normal,0,,0
REQUEST_INSTALL_PACKAGES,0,,signature,0,,0
REQUEST_OBSERVE_COMPANION_DEVICE_PRESENCE,0,,normal,0,,0
REQUEST_PASSWORD_COMPLEXITY,0,,normal,0,,0
RESTART_PACKAGES,0,,normal,0,,1
SCHEDULE_EXACT_ALARM,0,,normal,0,,0
SEND_RESPOND_VIA_MESSAGE,0,,normal,0,,0
SEND_SMS,0,,dangerous,0,,0
SET_ALARM,0,,normal,0,,0
SET_ALWAYS_FINISH,0,,normal,0,,0
SET_ANIMATION_SCALE,0,,normal,0,,0
SET_DEBUG_APP,0,,normal,0,,0
SET_PREFERRED_APPLICATIONS,0,,normal,0,,1
SET_PROCESS_LIMIT,0,,normal,0,,0
SET_TIME,0,,normal,0,,0
SET_TIME_ZONE,0,,normal,0,,0
SET_WALLPAPER,0,,normal,0,,0
SET_WALLPAPER_HINTS,0,,normal,0,,0
SIGNAL_PERSISTENT_PROCESSES,0,,normal,0,,0
SMS_FINANCIAL_TRANSACTIONS,0,,signatureOrSystem,0,,1
START_FOREGROUND_SERVICES_FROM_BACKGROUND,0,,normal,0,,0
START_VIEW_PERMISSION_USAGE,0,,signature,0,,0
STATUS_BAR,0,,normal,0,,0
SYSTEM_ALERT_WINDOW,0,,signatureOrSystem,0,,0
TRANSMIT_IR,0,,normal,0,,0
UNINSTALL_SHORTCUT,0,,normal,0,,0
UPDATE_DEVICE_STATS,0,,normal,0,,0
UPDATE_PACKAGES_WITHOUT_USER_ACTION,0,,normal,0,,0
USE_BIOMETRIC,0,,normal,0,,0
USE_FINGERPRINT,0,,normal,0,,1
USE_FULL_SCREEN_INTENT,0,,normal,0,,0
USE_ICC_AUTH_WITH_DEVICE_IDENTIFIER,0,,signature,0,,0
USE_SIP,0,,dangerous,0,,0
UWB_RANGING,0,,dangerous,0,,0
VIBRATE,0,,normal,0,,0
WAKE_LOCK,0,,normal,0,,0
WRITE_APN_SETTINGS,0,,normal,0,,0
WRITE_CALENDAR,0,,dangerous,0,,0
WRITE_CALL_LOG,0,,dangerous,0,,0
WRITE_CONTACTS,0,,dangerous,0,,0
WRITE_EXTERNAL_STORAGE,0,,dangerous,0,,0
WRITE_GSERVICES,0,,normal,0,,0
WRITE_SECURE_SETTINGS,0,,normal,0,,0
WRITE_SETTINGS,0,,normal,0,,0
WRITE_SYNC_SETTINGS,0,,normal,0,,0
WRITE_VOICEMAIL,0,,signatureOrSystem,0,,0
